Grade,Subject,Topic,Difficulty,Question,A,B,C,D,Correct Answer
K,Coding & Logic,Basics,Intermediate,Q1: What is debugging?,Deleting variables,Finding and fixing errors in a program,Adding more features,Writing only comments,Finding and fixing errors in a program
K,Coding & Logic,Logic,Intermediate,"Q2: If x = -3, is the condition x > 10 true?",True,False,Undefined,Depends,False
K,Coding & Logic,Loops,Intermediate,Q3: How many iterations does this loop run? for(i=2; i<7; i+=3),4,3,1,2,2
K,Coding & Logic,Debugging,Intermediate,Q4: What does AND mean in logic?,Either condition is true,Both conditions must be true,Both are false,It repeats code,Both conditions must be true
K,Coding & Logic,Basics,Intermediate,Q5: What does Big-O notation describe?,How runtime grows with input size,Code length,Number of comments,Exact runtime on any computer,How runtime grows with input size
K,Coding & Logic,Logic,Intermediate,Q6: What is debugging?,Finding and fixing errors in a program,Deleting variables,Adding more features,Writing only comments,Finding and fixing errors in a program
K,Coding & Logic,Loops,Intermediate,"Q7: If x = -10, is the condition x > 10 true?",Undefined,Depends,True,False,False
K,Coding & Logic,Debugging,Intermediate,Q8: How many iterations does this loop run? for(i=3; i<13; i+=2),5,4,7,6,5
K,Coding & Logic,Basics,Intermediate,Q9: What does AND mean in logic?,It repeats code,Both conditions must be true,Either condition is true,Both are false,Both conditions must be true
K,Coding & Logic,Logic,Intermediate,Q10: What does Big-O notation describe?,Number of comments,Code length,Exact runtime on any computer,How runtime grows with input size,How runtime grows with input size
K,Coding & Logic,Loops,Intermediate,Q11: What is debugging?,Writing only comments,Adding more features,Deleting variables,Finding and fixing errors in a program,Finding and fixing errors in a program
K,Coding & Logic,Debugging,Intermediate,"Q12: If x = 4, is the condition x > 10 true?",Undefined,False,Depends,True,False
K,Coding & Logic,Basics,Intermediate,Q13: How many iterations does this loop run? for(i=0; i<3; i+=1),3,4,2,5,3
K,Coding & Logic,Logic,Intermediate,Q14: What does AND mean in logic?,Both are false,Either condition is true,Both conditions must be true,It repeats code,Both conditions must be true
K,Coding & Logic,Loops,Intermediate,Q15: What does Big-O notation describe?,Exact runtime on any computer,Number of comments,Code length,How runtime grows with input size,How runtime grows with input size
K,Coding & Logic,Debugging,Intermediate,Q16: What is debugging?,Finding and fixing errors in a program,Adding more features,Deleting variables,Writing only comments,Finding and fixing errors in a program
K,Coding & Logic,Basics,Intermediate,"Q17: If x = -3, is the condition x > 10 true?",Depends,False,Undefined,True,False
K,Coding & Logic,Logic,Intermediate,Q18: How many iterations does this loop run? for(i=1; i<9; i+=3),4,2,3,5,3
K,Coding & Logic,Loops,Intermediate,Q19: What does AND mean in logic?,Both conditions must be true,It repeats code,Both are false,Either condition is true,Both conditions must be true
K,Coding & Logic,Debugging,Intermediate,Q20: What does Big-O notation describe?,Exact runtime on any computer,Code length,Number of comments,How runtime grows with input size,How runtime grows with input size
K,Coding & Logic,Basics,Intermediate,Q21: What is debugging?,Adding more features,Writing only comments,Deleting variables,Finding and fixing errors in a program,Finding and fixing errors in a program
K,Coding & Logic,Logic,Intermediate,"Q22: If x = -10, is the condition x > 10 true?",Depends,Undefined,False,True,False
K,Coding & Logic,Loops,Intermediate,Q23: How many iterations does this loop run? for(i=2; i<15; i+=2),8,9,7,6,7
K,Coding & Logic,Debugging,Intermediate,Q24: What does AND mean in logic?,It repeats code,Both are false,Both conditions must be true,Either condition is true,Both conditions must be true
K,Coding & Logic,Basics,Intermediate,Q25: What does Big-O notation describe?,Number of comments,How runtime grows with input size,Exact runtime on any computer,Code length,How runtime grows with input size
K,Coding & Logic,Logic,Intermediate,Q26: What is debugging?,Adding more features,Finding and fixing errors in a program,Writing only comments,Deleting variables,Finding and fixing errors in a program
K,Coding & Logic,Loops,Intermediate,"Q27: If x = 4, is the condition x > 10 true?",Undefined,False,True,Depends,False
K,Coding & Logic,Debugging,Intermediate,Q28: How many iterations does this loop run? for(i=3; i<9; i+=1),7,5,6,8,6
K,Coding & Logic,Basics,Intermediate,Q29: What does AND mean in logic?,It repeats code,Either condition is true,Both are false,Both conditions must be true,Both conditions must be true
K,Coding & Logic,Logic,Intermediate,Q30: What does Big-O notation describe?,Number of comments,How runtime grows with input size,Exact runtime on any computer,Code length,How runtime grows with input size
K,Coding & Logic,Loops,Intermediate,Q31: What is debugging?,Deleting variables,Writing only comments,Finding and fixing errors in a program,Adding more features,Finding and fixing errors in a program
K,Coding & Logic,Debugging,Intermediate,"Q32: If x = -3, is the condition x > 10 true?",Undefined,True,False,Depends,False
