Grade,Subject,Topic,Difficulty,Question,A,B,C,D,Correct Answer
K,Coding & Logic,Basics,Easy,Q1: What is debugging?,Writing only comments,Adding more features,Deleting variables,Finding and fixing errors in a program,Finding and fixing errors in a program
K,Coding & Logic,Logic,Easy,"Q2: If x = -3, is the condition x > 10 true?",True,False,Depends,Undefined,False
K,Coding & Logic,Loops,Easy,Q3: How many iterations does this loop run? for(i=2; i<7; i+=3),4,1,3,2,2
K,Coding & Logic,Debugging,Easy,Q4: What does AND mean in logic?,Both conditions must be true,Either condition is true,Both are false,It repeats code,Both conditions must be true
K,Coding & Logic,Basics,Easy,Q5: What does Big-O notation describe?,Code length,Exact runtime on any computer,How runtime grows with input size,Number of comments,How runtime grows with input size
K,Coding & Logic,Logic,Easy,Q6: What is debugging?,Adding more features,Writing only comments,Deleting variables,Finding and fixing errors in a program,Finding and fixing errors in a program
K,Coding & Logic,Loops,Easy,"Q7: If x = -10, is the condition x > 10 true?",Undefined,False,True,Depends,False
K,Coding & Logic,Debugging,Easy,Q8: How many iterations does this loop run? for(i=3; i<13; i+=2),5,7,4,6,5
K,Coding & Logic,Basics,Easy,Q9: What does AND mean in logic?,Either condition is true,Both are false,Both conditions must be true,It repeats code,Both conditions must be true
K,Coding & Logic,Logic,Easy,Q10: What does Big-O notation describe?,How runtime grows with input size,Number of comments,Code length,Exact runtime on any computer,How runtime grows with input size
K,Coding & Logic,Loops,Easy,Q11: What is debugging?,Writing only comments,Adding more features,Finding and fixing errors in a program,Deleting variables,Finding and fixing errors in a program
K,Coding & Logic,Debugging,Easy,"Q12: If x = 4, is the condition x > 10 true?",Depends,Undefined,True,False,False
K,Coding & Logic,Basics,Easy,Q13: How many iterations does this loop run? for(i=0; i<3; i+=1),5,3,2,4,3
K,Coding & Logic,Logic,Easy,Q14: What does AND mean in logic?,It repeats code,Either condition is true,Both conditions must be true,Both are false,Both conditions must be true
K,Coding & Logic,Loops,Easy,Q15: What does Big-O notation describe?,Exact runtime on any computer,Code length,Number of comments,How runtime grows with input size,How runtime grows with input size
K,Coding & Logic,Debugging,Easy,Q16: What is debugging?,Writing only comments,Adding more features,Finding and fixing errors in a program,Deleting variables,Finding and fixing errors in a program
K,Coding & Logic,Basics,Easy,"Q17: If x = -3, is the condition x > 10 true?",True,Depends,Undefined,False,False
K,Coding & Logic,Logic,Easy,Q18: How many iterations does this loop run? for(i=1; i<9; i+=3),5,3,4,2,3
K,Coding & Logic,Loops,Easy,Q19: What does AND mean in logic?,Both conditions must be true,Either condition is true,Both are false,It repeats code,Both conditions must be true
K,Coding & Logic,Debugging,Easy,Q20: What does Big-O notation describe?,Number of comments,How runtime grows with input size,Exact runtime on any computer,Code length,How runtime grows with input size
K,Coding & Logic,Basics,Easy,Q21: What is debugging?,Deleting variables,Adding more features,Writing only comments,Finding and fixing errors in a program,Finding and fixing errors in a program
