Grade,Subject,Topic,Difficulty,Question,A,B,C,D,Correct Answer
K,Coding & Logic,Sequencing & Algorithms,Hard,"To wash hands, what should you do after turning on the tap?",Dry hands,Use soap,Turn off tap,Run away,Use soap
K,Coding & Logic,Logic & Conditions,Hard,"If a door is closed, what should you do to go in?",Knock,Run,Sit,Sleep,Knock
K,Coding & Logic,Patterns & Reasoning,Hard,What comes next? 🔺 🔺 🔵 🔺 🔺 🔵 ___,🔵,🔺,⬛,⭐,🔵
K,Coding & Logic,Debugging (Conceptual),Hard,You pressed the light switch but it is dark. What can you check?,Shoes,Bulb,Book,Toy,Bulb
K,Coding & Logic,Sequencing & Algorithms,Hard,Which step should come first to draw a picture?,Color it,Pick up a pencil,Show friend,Erase,Pick up a pencil
K,Coding & Logic,Logic & Conditions,Hard,"If it is dark, what should you turn on?",Fan,TV,Light,Radio,Light
K,Coding & Logic,Patterns & Reasoning,Hard,What comes next? 1 3 5 ___,6,7,8,9,7
K,Coding & Logic,Debugging (Conceptual),Hard,You want to go outside but the door is locked. What should you do?,Cry,Find a key,Sleep,Ignore,Find a key
K,Coding & Logic,Debugging (Conceptual),Hard,What is debugging?,Writing only comments,Finding and fixing errors in a program,Deleting variables,Adding more features,Finding and fixing errors in a program
K,Coding & Logic,Logic & Conditions,Hard,"If x = 19, is (x > -10) AND (x < 0) true?",Undefined,False,True,Depends,False
K,Coding & Logic,Logic & Conditions,Hard,"If x = 10, is (x > -4) AND (x < 15) true?",True,Undefined,Depends,False,True
K,Coding & Logic,Logic & Conditions,Hard,"If x = -10, is (x > 0) AND (x < 20) true?",Depends,False,Undefined,True,False
K,Coding & Logic,Sequencing & Algorithms,Hard,What does Big-O notation describe?,How runtime grows with input size,Number of comments,Code length,Exact runtime on any computer,How runtime grows with input size
K,Coding & Logic,Logic & Conditions,Hard,"If x = 3, is (x > -7) AND (x < 5) true?",Undefined,True,False,Depends,True
K,Coding & Logic,Logic & Conditions,Hard,"If x = 5, is (x > -5) AND (x < 10) true?",True,Undefined,Depends,False,True
K,Coding & Logic,Logic & Conditions,Hard,"If x = -1, is (x > 9) AND (x < 22) true?",Undefined,False,Depends,True,False
K,Coding & Logic,Logic & Conditions,Hard,"If x = 3, is (x > 0) AND (x < 10) true?",Undefined,Depends,False,True,True
K,Coding & Logic,Logic & Conditions,Hard,"If x = 17, is (x > -9) AND (x < 0) true?",False,Depends,Undefined,True,False
K,Coding & Logic,Logic & Conditions,Hard,"If x = -8, is (x > -5) AND (x < 6) true?",True,Undefined,Depends,False,False
K,Coding & Logic,Logic & Conditions,Hard,"If x = -2, is (x > 2) AND (x < 22) true?",Undefined,True,False,Depends,False
K,Coding & Logic,Logic & Conditions,Hard,"If x = 14, is (x > -3) AND (x < 11) true?",Undefined,False,True,Depends,False
K,Coding & Logic,Logic & Conditions,Hard,"If x = -1, is (x > 7) AND (x < 19) true?",Depends,True,False,Undefined,False
K,Coding & Logic,Logic & Conditions,Hard,"If x = 4, is (x > 7) AND (x < 22) true?",False,True,Depends,Undefined,False
K,Coding & Logic,Logic & Conditions,Hard,"If x = -9, is (x > -9) AND (x < -4) true?",False,Depends,Undefined,True,False
K,Coding & Logic,Logic & Conditions,Hard,"If x = 12, is (x > -8) AND (x < 1) true?",True,Depends,False,Undefined,False
K,Coding & Logic,Logic & Conditions,Hard,"If x = 4, is (x > -3) AND (x < 8) true?",False,Depends,True,Undefined,True
K,Coding & Logic,Logic & Conditions,Hard,"If x = -7, is (x > -2) AND (x < 14) true?",Undefined,Depends,True,False,False
K,Coding & Logic,Logic & Conditions,Hard,"If x = 1, is (x > 2) AND (x < 17) true?",True,False,Undefined,Depends,False
K,Coding & Logic,Logic & Conditions,Hard,"If x = 8, is (x > 7) AND (x < 13) true?",Undefined,Depends,False,True,True
K,Coding & Logic,Logic & Conditions,Hard,"If x = 7, is (x > -7) AND (x < -1) true?",False,True,Undefined,Depends,False
K,Coding & Logic,Logic & Conditions,Hard,"If x = 16, is (x > 8) AND (x < 23) true?",False,True,Depends,Undefined,True
K,Coding & Logic,Logic & Conditions,Hard,"If x = -9, is (x > -9) AND (x < 2) true?",Depends,True,Undefined,False,False
K,Coding & Logic,Logic & Conditions,Hard,"If x = -3, is (x > 9) AND (x < 15) true?",Depends,False,True,Undefined,False
K,Coding & Logic,Logic & Conditions,Hard,"If x = 4, is (x > 9) AND (x < 21) true?",Undefined,Depends,True,False,False
K,Coding & Logic,Logic & Conditions,Hard,"If x = -3, is (x > 0) AND (x < 9) true?",False,Undefined,True,Depends,False
K,Coding & Logic,Logic & Conditions,Hard,"If x = 16, is (x > -6) AND (x < 11) true?",True,Depends,Undefined,False,False
K,Coding & Logic,Logic & Conditions,Hard,"If x = 20, is (x > -7) AND (x < 3) true?",True,Depends,Undefined,False,False
K,Coding & Logic,Logic & Conditions,Hard,"If x = 9, is (x > 0) AND (x < 11) true?",Undefined,True,Depends,False,True
K,Coding & Logic,Logic & Conditions,Hard,"If x = -10, is (x > -1) AND (x < 9) true?",False,Undefined,Depends,True,False
K,Coding & Logic,Logic & Conditions,Hard,"If x = -5, is (x > -2) AND (x < 6) true?",False,Depends,Undefined,True,False
K,Coding & Logic,Logic & Conditions,Hard,"If x = -8, is (x > -10) AND (x < 2) true?",True,Depends,Undefined,False,True
K,Coding & Logic,Logic & Conditions,Hard,"If x = -4, is (x > -5) AND (x < 4) true?",Undefined,Depends,False,True,True
K,Coding & Logic,Logic & Conditions,Hard,"If x = 2, is (x > -4) AND (x < 12) true?",True,Undefined,Depends,False,True
K,Coding & Logic,Logic & Conditions,Hard,"If x = 14, is (x > 6) AND (x < 12) true?",True,False,Undefined,Depends,False
K,Coding & Logic,Logic & Conditions,Hard,"If x = 5, is (x > -1) AND (x < 9) true?",Depends,Undefined,True,False,True
K,Coding & Logic,Logic & Conditions,Hard,"If x = 10, is (x > -2) AND (x < 18) true?",False,Depends,True,Undefined,True
K,Coding & Logic,Logic & Conditions,Hard,"If x = 0, is (x > -1) AND (x < 14) true?",Depends,False,Undefined,True,True
K,Coding & Logic,Logic & Conditions,Hard,"If x = 19, is (x > 2) AND (x < 13) true?",Depends,Undefined,False,True,False
K,Coding & Logic,Logic & Conditions,Hard,"If x = -6, is (x > 2) AND (x < 19) true?",True,Depends,False,Undefined,False
K,Coding & Logic,Logic & Conditions,Hard,"If x = 20, is (x > 3) AND (x < 16) true?",False,Undefined,True,Depends,False
K,Coding & Logic,Logic & Conditions,Hard,"If x = 10, is (x > 10) AND (x < 22) true?",False,True,Undefined,Depends,False
K,Coding & Logic,Logic & Conditions,Hard,"If x = 7, is (x > -3) AND (x < 14) true?",False,Undefined,Depends,True,True
K,Coding & Logic,Logic & Conditions,Hard,"If x = 18, is (x > -1) AND (x < 8) true?",False,Depends,True,Undefined,False
K,Coding & Logic,Logic & Conditions,Hard,"If x = -7, is (x > 1) AND (x < 19) true?",False,True,Depends,Undefined,False
K,Coding & Logic,Logic & Conditions,Hard,"If x = 11, is (x > -2) AND (x < 7) true?",False,Depends,Undefined,True,False
K,Coding & Logic,Logic & Conditions,Hard,"If x = 13, is (x > 6) AND (x < 22) true?",Depends,Undefined,False,True,True
K,Coding & Logic,Logic & Conditions,Hard,"If x = 8, is (x > 2) AND (x < 16) true?",False,True,Undefined,Depends,True
