Grade,Subject,Topic,Difficulty,Question,A,B,C,D,Correct Answer
4,Science,Biology,Intermediate,Q1: What is the main role of DNA in cells?,Storing genetic instructions,Producing light,Making weather,Breaking down rocks,Storing genetic instructions
4,Science,Chemistry,Intermediate,Q2: A solution has pH 1. How is it best classified?,Saltwater,Basic,Neutral,Acidic,Acidic
4,Science,Earth Science,Intermediate,Q3: What causes seasons on Earth?,Solar eclipses,Earth's distance from the Sun,Moon phases,Earth's axial tilt,Earth's axial tilt
4,Science,Physics,Intermediate,Q4: An object of mass 4 kg accelerates at 4 m/s². What net force acts on it?,16 N,12 N,64 N,20 N,16 N
4,Science,Biology,Intermediate,Q5: What is the main role of DNA in cells?,Making weather,Storing genetic instructions,Producing light,Breaking down rocks,Storing genetic instructions
4,Science,Chemistry,Intermediate,Q6: A solution has pH 5. How is it best classified?,Neutral,Acidic,Basic,Saltwater,Acidic
4,Science,Earth Science,Intermediate,Q7: What causes seasons on Earth?,Solar eclipses,Earth's axial tilt,Moon phases,Earth's distance from the Sun,Earth's axial tilt
4,Science,Physics,Intermediate,Q8: An object of mass 8 kg accelerates at 8 m/s². What net force acts on it?,64 N,56 N,512 N,72 N,64 N
4,Science,Biology,Intermediate,Q9: What is the main role of DNA in cells?,Making weather,Storing genetic instructions,Breaking down rocks,Producing light,Storing genetic instructions
4,Science,Chemistry,Intermediate,Q10: A solution has pH 9. How is it best classified?,Basic,Neutral,Acidic,Saltwater,Basic
4,Science,Earth Science,Intermediate,Q11: What causes seasons on Earth?,Moon phases,Earth's axial tilt,Solar eclipses,Earth's distance from the Sun,Earth's axial tilt
4,Science,Physics,Intermediate,Q12: An object of mass 12 kg accelerates at 12 m/s². What net force acts on it?,156 N,1728 N,132 N,144 N,144 N
4,Science,Biology,Intermediate,Q13: What is the main role of DNA in cells?,Making weather,Breaking down rocks,Storing genetic instructions,Producing light,Storing genetic instructions
4,Science,Chemistry,Intermediate,Q14: A solution has pH 13. How is it best classified?,Neutral,Basic,Acidic,Saltwater,Basic
4,Science,Earth Science,Intermediate,Q15: What causes seasons on Earth?,Earth's axial tilt,Earth's distance from the Sun,Solar eclipses,Moon phases,Earth's axial tilt
4,Science,Physics,Intermediate,Q16: An object of mass 16 kg accelerates at 4 m/s². What net force acts on it?,48 N,64 N,256 N,80 N,64 N
4,Science,Biology,Intermediate,Q17: What is the main role of DNA in cells?,Breaking down rocks,Making weather,Storing genetic instructions,Producing light,Storing genetic instructions
4,Science,Chemistry,Intermediate,Q18: A solution has pH 2. How is it best classified?,Saltwater,Neutral,Acidic,Basic,Acidic
4,Science,Earth Science,Intermediate,Q19: What causes seasons on Earth?,Earth's distance from the Sun,Solar eclipses,Moon phases,Earth's axial tilt,Earth's axial tilt
4,Science,Physics,Intermediate,Q20: An object of mass 20 kg accelerates at 8 m/s². What net force acts on it?,160 N,1280 N,140 N,180 N,160 N
4,Science,Biology,Intermediate,Q21: What is the main role of DNA in cells?,Breaking down rocks,Producing light,Storing genetic instructions,Making weather,Storing genetic instructions
4,Science,Chemistry,Intermediate,Q22: A solution has pH 6. How is it best classified?,Basic,Neutral,Saltwater,Acidic,Acidic
4,Science,Earth Science,Intermediate,Q23: What causes seasons on Earth?,Earth's distance from the Sun,Earth's axial tilt,Moon phases,Solar eclipses,Earth's axial tilt
4,Science,Physics,Intermediate,Q24: An object of mass 24 kg accelerates at 12 m/s². What net force acts on it?,312 N,3456 N,264 N,288 N,288 N
4,Science,Biology,Intermediate,Q25: What is the main role of DNA in cells?,Producing light,Making weather,Breaking down rocks,Storing genetic instructions,Storing genetic instructions
4,Science,Chemistry,Intermediate,Q26: A solution has pH 10. How is it best classified?,Basic,Acidic,Neutral,Saltwater,Basic
4,Science,Earth Science,Intermediate,Q27: What causes seasons on Earth?,Moon phases,Earth's distance from the Sun,Earth's axial tilt,Solar eclipses,Earth's axial tilt
4,Science,Physics,Intermediate,Q28: An object of mass 3 kg accelerates at 4 m/s². What net force acts on it?,15 N,48 N,9 N,12 N,12 N
4,Science,Biology,Intermediate,Q29: What is the main role of DNA in cells?,Breaking down rocks,Making weather,Producing light,Storing genetic instructions,Storing genetic instructions
4,Science,Chemistry,Intermediate,Q30: A solution has pH 14. How is it best classified?,Basic,Acidic,Neutral,Saltwater,Basic
4,Science,Earth Science,Intermediate,Q31: What causes seasons on Earth?,Moon phases,Earth's distance from the Sun,Solar eclipses,Earth's axial tilt,Earth's axial tilt
4,Science,Physics,Intermediate,Q32: An object of mass 7 kg accelerates at 8 m/s². What net force acts on it?,63 N,448 N,49 N,56 N,56 N
4,Science,Biology,Intermediate,Q33: What is the main role of DNA in cells?,Storing genetic instructions,Producing light,Breaking down rocks,Making weather,Storing genetic instructions
4,Science,Chemistry,Intermediate,Q34: A solution has pH 3. How is it best classified?,Neutral,Acidic,Basic,Saltwater,Acidic
4,Science,Earth Science,Intermediate,Q35: What causes seasons on Earth?,Moon phases,Earth's distance from the Sun,Earth's axial tilt,Solar eclipses,Earth's axial tilt
4,Science,Physics,Intermediate,Q36: An object of mass 11 kg accelerates at 12 m/s². What net force acts on it?,132 N,121 N,143 N,1584 N,132 N
4,Science,Biology,Intermediate,Q37: What is the main role of DNA in cells?,Storing genetic instructions,Breaking down rocks,Making weather,Producing light,Storing genetic instructions
4,Science,Chemistry,Intermediate,Q38: A solution has pH 7. How is it best classified?,Basic,Saltwater,Acidic,Neutral,Neutral
4,Science,Earth Science,Intermediate,Q39: What causes seasons on Earth?,Earth's axial tilt,Earth's distance from the Sun,Moon phases,Solar eclipses,Earth's axial tilt
4,Science,Physics,Intermediate,Q40: An object of mass 15 kg accelerates at 4 m/s². What net force acts on it?,45 N,240 N,75 N,60 N,60 N
4,Science,Biology,Intermediate,Q41: What is the main role of DNA in cells?,Making weather,Storing genetic instructions,Breaking down rocks,Producing light,Storing genetic instructions
4,Science,Chemistry,Intermediate,Q42: A solution has pH 11. How is it best classified?,Basic,Neutral,Acidic,Saltwater,Basic
4,Science,Earth Science,Intermediate,Q43: What causes seasons on Earth?,Earth's axial tilt,Solar eclipses,Moon phases,Earth's distance from the Sun,Earth's axial tilt
4,Science,Physics,Intermediate,Q44: An object of mass 19 kg accelerates at 8 m/s². What net force acts on it?,133 N,152 N,1216 N,171 N,152 N
4,Science,Biology,Intermediate,Q45: What is the main role of DNA in cells?,Storing genetic instructions,Making weather,Breaking down rocks,Producing light,Storing genetic instructions
4,Science,Chemistry,Intermediate,Q46: A solution has pH 0. How is it best classified?,Saltwater,Acidic,Neutral,Basic,Acidic
4,Science,Earth Science,Intermediate,Q47: What causes seasons on Earth?,Moon phases,Solar eclipses,Earth's distance from the Sun,Earth's axial tilt,Earth's axial tilt
4,Science,Physics,Intermediate,Q48: An object of mass 23 kg accelerates at 12 m/s². What net force acts on it?,276 N,3312 N,253 N,299 N,276 N
4,Science,Biology,Intermediate,Q49: What is the main role of DNA in cells?,Storing genetic instructions,Making weather,Producing light,Breaking down rocks,Storing genetic instructions
4,Science,Chemistry,Intermediate,Q50: A solution has pH 4. How is it best classified?,Acidic,Saltwater,Neutral,Basic,Acidic
4,Science,Earth Science,Intermediate,Q51: What causes seasons on Earth?,Earth's distance from the Sun,Earth's axial tilt,Moon phases,Solar eclipses,Earth's axial tilt
4,Science,Physics,Intermediate,Q52: An object of mass 2 kg accelerates at 4 m/s². What net force acts on it?,8 N,6 N,32 N,10 N,8 N
4,Science,Biology,Intermediate,Q53: What is the main role of DNA in cells?,Making weather,Producing light,Storing genetic instructions,Breaking down rocks,Storing genetic instructions
4,Science,Chemistry,Intermediate,Q54: A solution has pH 8. How is it best classified?,Neutral,Acidic,Saltwater,Basic,Basic
4,Science,Earth Science,Intermediate,Q55: What causes seasons on Earth?,Earth's axial tilt,Moon phases,Earth's distance from the Sun,Solar eclipses,Earth's axial tilt
4,Science,Physics,Intermediate,Q56: An object of mass 6 kg accelerates at 8 m/s². What net force acts on it?,42 N,54 N,384 N,48 N,48 N
4,Science,Biology,Intermediate,Q57: What is the main role of DNA in cells?,Producing light,Storing genetic instructions,Breaking down rocks,Making weather,Storing genetic instructions
4,Science,Chemistry,Intermediate,Q58: A solution has pH 12. How is it best classified?,Neutral,Saltwater,Acidic,Basic,Basic
4,Science,Earth Science,Intermediate,Q59: What causes seasons on Earth?,Earth's distance from the Sun,Solar eclipses,Earth's axial tilt,Moon phases,Earth's axial tilt
4,Science,Physics,Intermediate,Q60: An object of mass 10 kg accelerates at 12 m/s². What net force acts on it?,130 N,1440 N,120 N,110 N,120 N
4,Science,Biology,Intermediate,Q61: What is the main role of DNA in cells?,Making weather,Storing genetic instructions,Producing light,Breaking down rocks,Storing genetic instructions
4,Science,Chemistry,Intermediate,Q62: A solution has pH 1. How is it best classified?,Basic,Acidic,Saltwater,Neutral,Acidic
4,Science,Earth Science,Intermediate,Q63: What causes seasons on Earth?,Solar eclipses,Earth's distance from the Sun,Moon phases,Earth's axial tilt,Earth's axial tilt
4,Science,Physics,Intermediate,Q64: An object of mass 14 kg accelerates at 4 m/s². What net force acts on it?,56 N,70 N,224 N,42 N,56 N
4,Science,Biology,Intermediate,Q65: What is the main role of DNA in cells?,Making weather,Breaking down rocks,Producing light,Storing genetic instructions,Storing genetic instructions
4,Science,Chemistry,Intermediate,Q66: A solution has pH 5. How is it best classified?,Saltwater,Acidic,Neutral,Basic,Acidic
4,Science,Earth Science,Intermediate,Q67: What causes seasons on Earth?,Solar eclipses,Earth's distance from the Sun,Moon phases,Earth's axial tilt,Earth's axial tilt
4,Science,Physics,Intermediate,Q68: An object of mass 18 kg accelerates at 8 m/s². What net force acts on it?,162 N,126 N,144 N,1152 N,144 N
4,Science,Biology,Intermediate,Q69: What is the main role of DNA in cells?,Making weather,Storing genetic instructions,Breaking down rocks,Producing light,Storing genetic instructions
4,Science,Chemistry,Intermediate,Q70: A solution has pH 9. How is it best classified?,Acidic,Saltwater,Neutral,Basic,Basic
4,Science,Earth Science,Intermediate,Q71: What causes seasons on Earth?,Earth's distance from the Sun,Earth's axial tilt,Moon phases,Solar eclipses,Earth's axial tilt
4,Science,Physics,Intermediate,Q72: An object of mass 22 kg accelerates at 12 m/s². What net force acts on it?,286 N,3168 N,264 N,242 N,264 N
4,Science,Biology,Intermediate,Q73: What is the main role of DNA in cells?,Making weather,Breaking down rocks,Producing light,Storing genetic instructions,Storing genetic instructions
4,Science,Chemistry,Intermediate,Q74: A solution has pH 13. How is it best classified?,Saltwater,Acidic,Basic,Neutral,Basic
4,Science,Earth Science,Intermediate,Q75: What causes seasons on Earth?,Moon phases,Solar eclipses,Earth's distance from the Sun,Earth's axial tilt,Earth's axial tilt
4,Science,Physics,Intermediate,Q76: An object of mass 1 kg accelerates at 4 m/s². What net force acts on it?,5 N,3 N,16 N,4 N,4 N
4,Science,Biology,Intermediate,Q77: What is the main role of DNA in cells?,Storing genetic instructions,Breaking down rocks,Producing light,Making weather,Storing genetic instructions
4,Science,Chemistry,Intermediate,Q78: A solution has pH 2. How is it best classified?,Neutral,Basic,Acidic,Saltwater,Acidic
4,Science,Earth Science,Intermediate,Q79: What causes seasons on Earth?,Earth's distance from the Sun,Earth's axial tilt,Solar eclipses,Moon phases,Earth's axial tilt
4,Science,Physics,Intermediate,Q80: An object of mass 5 kg accelerates at 8 m/s². What net force acts on it?,35 N,45 N,320 N,40 N,40 N
4,Science,Biology,Intermediate,Q81: What is the main role of DNA in cells?,Breaking down rocks,Making weather,Producing light,Storing genetic instructions,Storing genetic instructions
4,Science,Chemistry,Intermediate,Q82: A solution has pH 6. How is it best classified?,Basic,Neutral,Saltwater,Acidic,Acidic
4,Science,Earth Science,Intermediate,Q83: What causes seasons on Earth?,Solar eclipses,Earth's distance from the Sun,Earth's axial tilt,Moon phases,Earth's axial tilt
4,Science,Physics,Intermediate,Q84: An object of mass 9 kg accelerates at 12 m/s². What net force acts on it?,99 N,1296 N,108 N,117 N,108 N
4,Science,Biology,Intermediate,Q85: What is the main role of DNA in cells?,Storing genetic instructions,Breaking down rocks,Making weather,Producing light,Storing genetic instructions
4,Science,Chemistry,Intermediate,Q86: A solution has pH 10. How is it best classified?,Basic,Acidic,Neutral,Saltwater,Basic
4,Science,Earth Science,Intermediate,Q87: What causes seasons on Earth?,Moon phases,Earth's distance from the Sun,Earth's axial tilt,Solar eclipses,Earth's axial tilt
4,Science,Physics,Intermediate,Q88: An object of mass 13 kg accelerates at 4 m/s². What net force acts on it?,208 N,52 N,65 N,39 N,52 N
4,Science,Biology,Intermediate,Q89: What is the main role of DNA in cells?,Producing light,Breaking down rocks,Storing genetic instructions,Making weather,Storing genetic instructions
4,Science,Chemistry,Intermediate,Q90: A solution has pH 14. How is it best classified?,Acidic,Saltwater,Neutral,Basic,Basic
4,Science,Earth Science,Intermediate,Q91: What causes seasons on Earth?,Earth's axial tilt,Moon phases,Solar eclipses,Earth's distance from the Sun,Earth's axial tilt
4,Science,Physics,Intermediate,Q92: An object of mass 17 kg accelerates at 8 m/s². What net force acts on it?,153 N,119 N,136 N,1088 N,136 N
4,Science,Biology,Intermediate,Q93: What is the main role of DNA in cells?,Producing light,Breaking down rocks,Storing genetic instructions,Making weather,Storing genetic instructions
4,Science,Chemistry,Intermediate,Q94: A solution has pH 3. How is it best classified?,Basic,Acidic,Neutral,Saltwater,Acidic
4,Science,Earth Science,Intermediate,Q95: What causes seasons on Earth?,Earth's distance from the Sun,Earth's axial tilt,Moon phases,Solar eclipses,Earth's axial tilt
4,Science,Physics,Intermediate,Q96: An object of mass 21 kg accelerates at 12 m/s². What net force acts on it?,273 N,3024 N,231 N,252 N,252 N
4,Science,Biology,Intermediate,Q97: What is the main role of DNA in cells?,Breaking down rocks,Storing genetic instructions,Producing light,Making weather,Storing genetic instructions
4,Science,Chemistry,Intermediate,Q98: A solution has pH 7. How is it best classified?,Basic,Neutral,Acidic,Saltwater,Neutral
4,Science,Earth Science,Intermediate,Q99: What causes seasons on Earth?,Earth's axial tilt,Moon phases,Earth's distance from the Sun,Solar eclipses,Earth's axial tilt
4,Science,Physics,Intermediate,Q100: An object of mass 25 kg accelerates at 4 m/s². What net force acts on it?,125 N,400 N,100 N,75 N,100 N
4,Science,Biology,Intermediate,Q101: What is the main role of DNA in cells?,Making weather,Producing light,Storing genetic instructions,Breaking down rocks,Storing genetic instructions
4,Science,Chemistry,Intermediate,Q102: A solution has pH 11. How is it best classified?,Acidic,Basic,Neutral,Saltwater,Basic
4,Science,Earth Science,Intermediate,Q103: What causes seasons on Earth?,Earth's distance from the Sun,Solar eclipses,Moon phases,Earth's axial tilt,Earth's axial tilt
4,Science,Physics,Intermediate,Q104: An object of mass 4 kg accelerates at 8 m/s². What net force acts on it?,256 N,32 N,28 N,36 N,32 N
4,Science,Biology,Intermediate,Q105: What is the main role of DNA in cells?,Breaking down rocks,Storing genetic instructions,Making weather,Producing light,Storing genetic instructions
4,Science,Chemistry,Intermediate,Q106: A solution has pH 0. How is it best classified?,Neutral,Basic,Acidic,Saltwater,Acidic
4,Science,Earth Science,Intermediate,Q107: What causes seasons on Earth?,Moon phases,Earth's axial tilt,Solar eclipses,Earth's distance from the Sun,Earth's axial tilt
4,Science,Physics,Intermediate,Q108: An object of mass 8 kg accelerates at 12 m/s². What net force acts on it?,96 N,1152 N,88 N,104 N,96 N
4,Science,Biology,Intermediate,Q109: What is the main role of DNA in cells?,Breaking down rocks,Producing light,Storing genetic instructions,Making weather,Storing genetic instructions
4,Science,Chemistry,Intermediate,Q110: A solution has pH 4. How is it best classified?,Neutral,Basic,Saltwater,Acidic,Acidic
4,Science,Earth Science,Intermediate,Q111: What causes seasons on Earth?,Moon phases,Earth's axial tilt,Solar eclipses,Earth's distance from the Sun,Earth's axial tilt
4,Science,Physics,Intermediate,Q112: An object of mass 12 kg accelerates at 4 m/s². What net force acts on it?,60 N,48 N,36 N,192 N,48 N
4,Science,Biology,Intermediate,Q113: What is the main role of DNA in cells?,Breaking down rocks,Producing light,Storing genetic instructions,Making weather,Storing genetic instructions
4,Science,Chemistry,Intermediate,Q114: A solution has pH 8. How is it best classified?,Saltwater,Neutral,Basic,Acidic,Basic
4,Science,Earth Science,Intermediate,Q115: What causes seasons on Earth?,Moon phases,Earth's distance from the Sun,Solar eclipses,Earth's axial tilt,Earth's axial tilt
4,Science,Physics,Intermediate,Q116: An object of mass 16 kg accelerates at 8 m/s². What net force acts on it?,112 N,128 N,1024 N,144 N,128 N
4,Science,Biology,Intermediate,Q117: What is the main role of DNA in cells?,Producing light,Making weather,Storing genetic instructions,Breaking down rocks,Storing genetic instructions
4,Science,Chemistry,Intermediate,Q118: A solution has pH 12. How is it best classified?,Acidic,Neutral,Basic,Saltwater,Basic
4,Science,Earth Science,Intermediate,Q119: What causes seasons on Earth?,Solar eclipses,Earth's axial tilt,Moon phases,Earth's distance from the Sun,Earth's axial tilt
4,Science,Physics,Intermediate,Q120: An object of mass 20 kg accelerates at 12 m/s². What net force acts on it?,240 N,260 N,2880 N,220 N,240 N
4,Science,Biology,Intermediate,Q121: What is the main role of DNA in cells?,Storing genetic instructions,Breaking down rocks,Producing light,Making weather,Storing genetic instructions
4,Science,Chemistry,Intermediate,Q122: A solution has pH 1. How is it best classified?,Neutral,Basic,Saltwater,Acidic,Acidic
4,Science,Earth Science,Intermediate,Q123: What causes seasons on Earth?,Solar eclipses,Earth's distance from the Sun,Earth's axial tilt,Moon phases,Earth's axial tilt
4,Science,Physics,Intermediate,Q124: An object of mass 24 kg accelerates at 4 m/s². What net force acts on it?,120 N,384 N,72 N,96 N,96 N
4,Science,Biology,Intermediate,Q125: What is the main role of DNA in cells?,Making weather,Breaking down rocks,Producing light,Storing genetic instructions,Storing genetic instructions
4,Science,Chemistry,Intermediate,Q126: A solution has pH 5. How is it best classified?,Basic,Saltwater,Acidic,Neutral,Acidic
4,Science,Earth Science,Intermediate,Q127: What causes seasons on Earth?,Earth's distance from the Sun,Moon phases,Earth's axial tilt,Solar eclipses,Earth's axial tilt
4,Science,Physics,Intermediate,Q128: An object of mass 3 kg accelerates at 8 m/s². What net force acts on it?,192 N,24 N,27 N,21 N,24 N
4,Science,Biology,Intermediate,Q129: What is the main role of DNA in cells?,Storing genetic instructions,Breaking down rocks,Producing light,Making weather,Storing genetic instructions
4,Science,Chemistry,Intermediate,Q130: A solution has pH 9. How is it best classified?,Basic,Saltwater,Acidic,Neutral,Basic
4,Science,Earth Science,Intermediate,Q131: What causes seasons on Earth?,Earth's axial tilt,Solar eclipses,Earth's distance from the Sun,Moon phases,Earth's axial tilt
4,Science,Physics,Intermediate,Q132: An object of mass 7 kg accelerates at 12 m/s². What net force acts on it?,84 N,1008 N,77 N,91 N,84 N
4,Science,Biology,Intermediate,Q133: What is the main role of DNA in cells?,Making weather,Breaking down rocks,Producing light,Storing genetic instructions,Storing genetic instructions
4,Science,Chemistry,Intermediate,Q134: A solution has pH 13. How is it best classified?,Acidic,Saltwater,Basic,Neutral,Basic
4,Science,Earth Science,Intermediate,Q135: What causes seasons on Earth?,Solar eclipses,Earth's distance from the Sun,Moon phases,Earth's axial tilt,Earth's axial tilt
4,Science,Physics,Intermediate,Q136: An object of mass 11 kg accelerates at 4 m/s². What net force acts on it?,33 N,44 N,55 N,176 N,44 N
4,Science,Biology,Intermediate,Q137: What is the main role of DNA in cells?,Producing light,Storing genetic instructions,Breaking down rocks,Making weather,Storing genetic instructions
4,Science,Chemistry,Intermediate,Q138: A solution has pH 2. How is it best classified?,Neutral,Acidic,Saltwater,Basic,Acidic
4,Science,Earth Science,Intermediate,Q139: What causes seasons on Earth?,Earth's axial tilt,Moon phases,Earth's distance from the Sun,Solar eclipses,Earth's axial tilt
4,Science,Physics,Intermediate,Q140: An object of mass 15 kg accelerates at 8 m/s². What net force acts on it?,135 N,960 N,105 N,120 N,120 N
4,Science,Biology,Intermediate,Q141: What is the main role of DNA in cells?,Making weather,Storing genetic instructions,Producing light,Breaking down rocks,Storing genetic instructions
4,Science,Chemistry,Intermediate,Q142: A solution has pH 6. How is it best classified?,Neutral,Acidic,Basic,Saltwater,Acidic
4,Science,Earth Science,Intermediate,Q143: What causes seasons on Earth?,Solar eclipses,Earth's distance from the Sun,Moon phases,Earth's axial tilt,Earth's axial tilt
4,Science,Physics,Intermediate,Q144: An object of mass 19 kg accelerates at 12 m/s². What net force acts on it?,247 N,2736 N,228 N,209 N,228 N
