Grade,Subject,Topic,Difficulty,Question,A,B,C,D,Correct Answer
9,Coding & Logic,Control Flow,Intermediate,When does the else block execute?,When condition is true,When condition is false,Always,Never,When condition is false
9,Coding & Logic,Loops,Intermediate,What is a for-loop commonly used for?,Decision making,Repeating a known number of times,Error handling,Input/output,Repeating a known number of times
9,Coding & Logic,Logic,Intermediate,What does NOT do in logic?,Negates a condition,Repeats steps,Inverts true/false,Reverses logic,Repeats steps
9,Coding & Logic,Debugging,Intermediate,Why is tracing code line by line useful?,To slow execution,To identify logic mistakes,To add features,To remove variables,To identify logic mistakes
9,Coding & Logic,Control Flow,Intermediate,What is the purpose of an if-else statement?,Repeat code,Make decisions,Store data,Print output,Make decisions
9,Coding & Logic,Logic,Intermediate,"If x > 2 AND x < 6, which value fits?",1,2,4,6,4
9,Coding & Logic,Loops,Intermediate,How many times does a loop run from i=1 to i=5?,4,5,6,10,5
9,Coding & Logic,Debugging,Intermediate,What is a logic error?,Program crashes,Program runs but gives wrong output,Syntax issue,Hardware failure,Program runs but gives wrong output
9,Coding & Logic,Debugging,Intermediate,What is debugging?,Writing only comments,Finding and fixing errors in a program,Deleting variables,Adding more features,Finding and fixing errors in a program
9,Coding & Logic,Logic,Intermediate,"If x = 7, is (x > -3) AND (x < 4) true?",Undefined,Depends,True,False,False
9,Coding & Logic,Loops,Intermediate,How many iterations does this loop run? for (i=1; i<10; i+=3),4,2,3,5,3
9,Coding & Logic,Loops,Intermediate,How many iterations does this loop run? for (i=0; i<3; i+=1),2,4,3,5,3
9,Coding & Logic,Logic,Intermediate,"If x = 16, is (x > 5) AND (x < 24) true?",False,Undefined,Depends,True,True
9,Coding & Logic,Loops,Intermediate,How many iterations does this loop run? for (i=5; i<13; i+=2),6,4,5,3,4
9,Coding & Logic,Logic,Intermediate,"If x = 2, is (x > 0) AND (x < 5) true?",False,True,Undefined,Depends,True
9,Coding & Logic,Loops,Intermediate,How many iterations does this loop run? for (i=3; i<11; i+=2),6,4,3,5,4
9,Coding & Logic,Loops,Intermediate,How many iterations does this loop run? for (i=5; i<9; i+=1),5,3,4,6,4
9,Coding & Logic,Loops,Intermediate,How many iterations does this loop run? for (i=4; i<8; i+=3),4,2,1,3,2
9,Coding & Logic,Logic,Intermediate,"If x = -7, is (x > 2) AND (x < 18) true?",Depends,True,Undefined,False,False
9,Coding & Logic,Loops,Intermediate,How many iterations does this loop run? for (i=3; i<13; i+=3),6,3,4,5,4
9,Coding & Logic,Logic,Intermediate,"If x = 0, is (x > 4) AND (x < 9) true?",True,Depends,False,Undefined,False
9,Coding & Logic,Loops,Intermediate,How many iterations does this loop run? for (i=1; i<6; i+=1),5,4,6,7,5
9,Coding & Logic,Loops,Intermediate,How many iterations does this loop run? for (i=4; i<19; i+=3),5,6,7,4,5
9,Coding & Logic,Logic,Intermediate,"If x = -3, is (x > 3) AND (x < 17) true?",Depends,True,Undefined,False,False
9,Coding & Logic,Loops,Intermediate,How many iterations does this loop run? for (i=0; i<8; i+=2),3,6,4,5,4
9,Coding & Logic,Logic,Intermediate,"If x = -5, is (x > 10) AND (x < 22) true?",Depends,False,True,Undefined,False
9,Coding & Logic,Logic,Intermediate,"If x = 7, is (x > -5) AND (x < 0) true?",False,Depends,True,Undefined,False
9,Coding & Logic,Loops,Intermediate,How many iterations does this loop run? for (i=4; i<15; i+=1),12,11,10,13,11
9,Coding & Logic,Loops,Intermediate,How many iterations does this loop run? for (i=3; i<18; i+=2),10,8,7,9,8
9,Coding & Logic,Loops,Intermediate,How many iterations does this loop run? for (i=4; i<16; i+=1),14,13,12,11,12
9,Coding & Logic,Loops,Intermediate,How many iterations does this loop run? for (i=0; i<10; i+=1),10,12,9,11,10
9,Coding & Logic,Logic,Intermediate,"If x = -2, is (x > 5) AND (x < 20) true?",True,False,Depends,Undefined,False
9,Coding & Logic,Loops,Intermediate,How many iterations does this loop run? for (i=1; i<7; i+=1),5,7,6,8,6
9,Coding & Logic,Loops,Intermediate,How many iterations does this loop run? for (i=4; i<9; i+=1),5,4,6,7,5
9,Coding & Logic,Logic,Intermediate,"If x = 4, is (x > -4) AND (x < 10) true?",True,Depends,Undefined,False,True
9,Coding & Logic,Loops,Intermediate,How many iterations does this loop run? for (i=4; i<14; i+=3),6,5,3,4,4
9,Coding & Logic,Loops,Intermediate,How many iterations does this loop run? for (i=5; i<20; i+=2),10,7,8,9,8
