Grade,Subject,Topic,Difficulty,Question,A,B,C,D,Correct Answer
K,Maths,Counting,Easy,How many apples are there? 🍎🍎,1,2,3,4,2
K,Maths,Shapes,Easy,Which shape has 3 sides?,Circle,Square,Triangle,Rectangle,Triangle
K,Maths,Comparison,Easy,Which is smaller?,4,1,3,2,1
K,Maths,Patterns,Easy,What comes next? A B A B ___,A,B,C,D,A
K,Maths,Shapes,Easy,Which shape is round?,Square,Triangle,Circle,Rectangle,Circle
K,Maths,Counting,Easy,What comes after 3?,2,3,4,5,4
K,Maths,Patterns,Easy,What comes next? 1 2 1 2 ___,1,2,3,4,1
K,Maths,Comparison,Easy,Which number is bigger?,2,5,1,0,5
K,Maths,Patterns,Easy,"Which is the largest number? 10, 0, 4",0,8,4,10,10
K,Maths,Shapes,Easy,"Which is the smallest number? 3, 1, 2",1,2,3,Option 3,1
K,Maths,Comparison,Easy,"What comes next in the pattern? 3, 4, 3, 4, 3, ___",Option 3,4,3,5,4
K,Maths,Shapes,Easy,"Which is the largest number? 6, 9, 4",9,11,4,6,9
K,Maths,Comparison,Easy,Fill in the blank: 4 + ___ = 8,6,5,3,4,4
K,Maths,Comparison,Easy,There are 10 cars. 6 go away. How many are left?,6,4,5,3,4
K,Maths,Shapes,Easy,Which number is greater?,6,8,7,4,7
K,Maths,Shapes,Easy,"Count by 10: 0, 10, 20, 30, 40, 50, 60, 70, 80, ___",80,100,90,110,90
K,Maths,Comparison,Easy,You have 1 candies and get 4 more. How many candies do you have now?,7,6,5,4,5
K,Maths,Counting,Easy,You have 0 marbles and get 6 more. How many marbles do you have now?,6,7,8,5,6
K,Maths,Shapes,Easy,"Which is the smallest number? 0, 10, 1",10,-1,1,0,0
K,Maths,Shapes,Easy,"What comes next in the pattern? 9, 10, 9, 10, 9, ___",11,10,9,Option 3,10
K,Maths,Counting,Easy,You have 3 trees and get 5 more. How many trees do you have now?,7,10,8,9,8
K,Maths,Comparison,Easy,"Count by 10: 10, 20, 30, 40, 50, 60, 70, 80, ___",100,80,90,110,90
K,Maths,Shapes,Easy,"Which is the largest number? 10, 1, 2",12,1,2,10,10
K,Maths,Patterns,Easy,How many sides does a square have?,3,6,4,5,4
K,Maths,Patterns,Easy,"Which is the largest number? 0, 5, 6",8,6,5,0,6
K,Maths,Shapes,Easy,You have 7 candies and get 5 more. How many candies do you have now?,13,11,14,12,12
K,Maths,Shapes,Easy,There are 7 flowers. 0 go away. How many are left?,7,8,6,9,7
K,Maths,Counting,Easy,"Count by 5: 0, 5, 10, 15, 20, 25, ___",40,25,30,35,30
K,Maths,Counting,Easy,You have 2 shells and get 5 more. How many shells do you have now?,9,7,6,8,7
K,Maths,Shapes,Easy,How many sides does a pentagon have?,5,6,7,4,5
K,Maths,Shapes,Easy,"What comes next in the pattern? 3, 7, 3, 7, 3, ___",3,8,6,7,7
K,Maths,Comparison,Easy,How many sides does a hexagon have?,8,5,6,7,6
K,Maths,Shapes,Easy,You have 7 kites and get 4 more. How many kites do you have now?,12,10,13,11,11
K,Maths,Comparison,Easy,"Which is the largest number? 4, 10, 1",10,9,1,4,10
K,Maths,Shapes,Easy,"What comes next in the pattern? 6, 10, 6, 10, 6, ___",9,6,11,10,10
K,Maths,Shapes,Easy,You have 2 pencils and get 6 more. How many pencils do you have now?,9,7,10,8,8
K,Maths,Comparison,Easy,You have 9 balls and get 8 more. How many balls do you have now?,17,19,18,16,17
K,Maths,Shapes,Easy,"Which is the largest number? 10, 10, 5",8,11,10,5,10
K,Maths,Shapes,Easy,"What comes next in the pattern? 7, 9, 7, 9, 7, ___",10,8,9,7,9
K,Maths,Counting,Easy,There are 6 apples. 6 go away. How many are left?,0,Option 3,1,2,0
K,Maths,Shapes,Easy,"What comes next in the pattern? 4, 5, 4, 5, 4, ___",Option 3,5,6,4,5
K,Maths,Comparison,Easy,"Which is the smallest number? 2, 5, 9",9,2,3,5,2
K,Maths,Comparison,Easy,There are 8 books. 8 go away. How many are left?,2,Option 3,1,0,0
K,Maths,Patterns,Easy,"Which is the largest number? 7, 2, 5",7,6,2,5,7
K,Maths,Comparison,Easy,Fill in the blank: 10 + ___ = 19,10,11,9,8,9
K,Maths,Counting,Easy,You have 10 buttons and get 2 more. How many buttons do you have now?,11,13,12,14,12
K,Maths,Counting,Easy,You have 2 books and get 2 more. How many books do you have now?,3,4,5,6,4
K,Maths,Patterns,Easy,You have 8 robots and get 10 more. How many robots do you have now?,18,20,19,17,18
K,Maths,Shapes,Easy,"Count by 2: 0, 2, ___",2,6,4,8,4
K,Maths,Patterns,Easy,Fill in the blank: 5 + ___ = 15,10,9,12,11,10
K,Maths,Patterns,Easy,Fill in the blank: 6 + ___ = 15,9,11,10,8,9
K,Maths,Counting,Easy,"Which is the smallest number? 4, 6, 1",4,1,6,3,1
K,Maths,Counting,Easy,"What comes next in the pattern? 6, 9, 6, 9, 6, ___",6,10,9,8,9
K,Maths,Comparison,Easy,"What comes next in the pattern? 6, 11, 6, 11, 6, ___",6,11,10,12,11
K,Maths,Patterns,Easy,"Count by 2: 0, 2, 4, 6, 8, 10, ___",10,12,16,14,12
K,Maths,Comparison,Easy,"Count by 5: 0, 5, 10, 15, 20, 25, 30, 35, 40, 45, 50, ___",65,60,55,50,55
K,Maths,Shapes,Easy,Fill in the blank: 5 + ___ = 7,1,2,4,3,2
K,Maths,Comparison,Easy,"Which is the largest number? 0, 8, 7",10,8,7,0,8
K,Maths,Counting,Easy,How many sides does a triangle have?,5,3,4,2,3
K,Maths,Comparison,Easy,"Which is the largest number? 4, 2, 1",2,3,1,4,4
K,Maths,Counting,Easy,You have 5 balls and get 0 more. How many balls do you have now?,4,7,5,6,5
