Grade,Subject,Topic,Difficulty,Question,A,B,C,D,Correct Answer
5,Coding & Logic,Algorithms & Debugging,Hard,What is an algorithm?,A bug,A set of steps to solve a problem,A computer part,A number,A set of steps to solve a problem
5,Coding & Logic,Logic & Conditions,Hard,"If a loop repeats until a condition is met, what could go wrong?",It finishes fast,It could run forever,It becomes a variable,It deletes code,It could run forever
5,Coding & Logic,Patterns & Reasoning,Hard,"What comes next? 2, 6, 12, 20, ___",24,28,30,32,30
5,Coding & Logic,Planning & Optimization,Hard,What is the best first step to solve a complex coding task?,Write final code,Break into smaller tasks,Skip planning,Copy random code,Break into smaller tasks
5,Coding & Logic,Algorithms & Debugging,Hard,"If a program runs but gives wrong results, what should you do?",Ignore it,Trace steps and debug,Delete it,Guess output,Trace steps and debug
5,Coding & Logic,Logic & Conditions,Hard,"If a number is prime, what must be true?",Divisible by 1 and itself only,Even,Divisible by 10,Ends in 0,Divisible by 1 and itself only
5,Coding & Logic,Patterns & Reasoning,Hard,What comes next? ■ ■ ▲ ■ ■ ▲ ■ ■ ___,▲,■,●,◆,▲
5,Coding & Logic,Planning & Optimization,Hard,What is the best first step to solve a complex coding task?,Write final code,Break into smaller tasks,Skip planning,Copy random code,Break into smaller tasks
5,Coding & Logic,Algorithms & Debugging,Hard,"If a program runs but gives wrong results, what should you do?",Ignore it,Trace steps and debug,Delete it,Guess output,Trace steps and debug
5,Coding & Logic,Logic & Conditions,Hard,"If a loop repeats until a condition is met, what could go wrong?",It finishes fast,It could run forever,It becomes a variable,It deletes code,It could run forever
5,Coding & Logic,Patterns & Reasoning,Hard,"What comes next? 2, 6, 12, 20, ___",24,28,30,32,30
5,Coding & Logic,Planning & Optimization,Hard,What is the best first step to solve a complex coding task?,Write final code,Break into smaller tasks,Skip planning,Copy random code,Break into smaller tasks
5,Coding & Logic,Algorithms & Debugging,Hard,What is an algorithm?,A bug,A set of steps to solve a problem,A computer part,A number,A set of steps to solve a problem
