Grade,Subject,Topic,Difficulty,Question,A,B,C,D,Correct Answer
1,Space & Physics,Earth & Space Reasoning,Hard,Why does the Sun look bigger than stars?,It is closer,It is brighter only,It moves faster,It is colder,It is closer
1,Space & Physics,Motion & Forces,Hard,Why does a ball slow down on grass?,More friction,Less gravity,More light,Less air,More friction
1,Space & Physics,Light & Heat,Hard,Why is it darker at night?,Sun is asleep,Earth turns away from the Sun,Moon blocks the Sun,Stars turn off,Earth turns away from the Sun
1,Space & Physics,Cause & Effect,Hard,"If there were no Sun, what would Earth be like?",Always bright,Always warm,Cold and dark,Windy,Cold and dark
1,Space & Physics,Motion & Forces,Hard,What happens if you push a swing harder?,Moves slower,Stops,Moves higher,Breaks,Moves higher
1,Space & Physics,Light & Heat,Hard,Why does metal feel hot in the Sun?,It absorbs heat,It makes light,It reflects cold,It has color,It absorbs heat
1,Space & Physics,Earth & Space Reasoning,Hard,Why do shadows change during the day?,Earth spins,Sun moves across the sky,Clouds move,Wind blows,Sun moves across the sky
1,Space & Physics,Cause & Effect,Hard,"If you shine a light on an object, what forms?",Sound,Shadow,Wind,Water,Shadow
1,Space & Physics,Light & Heat,Hard,A wave travels at 340 m/s with frequency 1000 Hz. What is its wavelength?,0.17 m,340000 m,0.34 m,0.68 m,0.34 m
1,Space & Physics,Light & Heat,Hard,"For sound waves, which property is most closely related to pitch?",Amplitude,Speed,Frequency,Density,Frequency
1,Space & Physics,Motion & Forces,Hard,Velocity changes from 12 m/s to 16 m/s in 4 s. What is the average acceleration?,0.5 m/s²,1.0 m/s²,2.0 m/s²,16 m/s²,1.0 m/s²
1,Space & Physics,Earth & Space Reasoning,Hard,"In a simplified model, if distance between two masses doubles, gravitational force becomes:",Four times as large,Twice as large,Half as large,One-fourth as large,One-fourth as large
1,Space & Physics,Light & Heat,Hard,Refraction happens when a wave enters a new medium because its:,Frequency always changes,Speed changes,Energy is destroyed,Amplitude becomes zero,Speed changes
