Grade,Subject,Topic,Difficulty,Question,A,B,C,D,Correct Answer
K,Science,Animals,Easy,Which animal says 'meow'?,Dog,Cat,Cow,Duck,Cat
K,Science,Animals,Easy,Which animal says 'woof'?,Dog,Cat,Cow,Duck,Dog
K,Science,Animals,Easy,Which animal says 'oink'?,Dog,Cat,Cow,Duck,Pig
K,Science,Animals,Easy,Which animal says 'baa'?,Dog,Cat,Cow,Duck,Sheep
K,Science,Animals,Easy,Which animal says 'ribbit'?,Dog,Cat,Cow,Duck,Frog
K,Science,Animals,Easy,Which statement best describes conservation of energy?,Energy changes form but is not created or destroyed,Energy stays only as heat,Energy is always destroyed,Energy is created in every reaction,Energy changes form but is not created or destroyed
K,Science,Animals,Easy,An object travels 82 m in 19 s. What is its average speed?,8.631578947368421 m/s,1558 m/s,4.315789473684211 m/s,2.1578947368421053 m/s,4.315789473684211 m/s
K,Science,Animals,Easy,An object of mass 10 kg accelerates at 3 m/s². What net force acts on it?,20 N,40 N,30 N,90 N,30 N
K,Science,Animals,Easy,An object of mass 14 kg accelerates at 2 m/s². What net force acts on it?,56 N,14 N,42 N,28 N,28 N
K,Science,Animals,Easy,An object travels 324 m in 37 s. What is its average speed?,8.756756756756756 m/s,17.513513513513512 m/s,4.378378378378378 m/s,11988 m/s,8.756756756756756 m/s
K,Science,Animals,Easy,An object travels 280 m in 20 s. What is its average speed?,28.0 m/s,7.0 m/s,14.0 m/s,5600 m/s,14.0 m/s
K,Science,Animals,Easy,An object travels 162 m in 8 s. What is its average speed?,40.5 m/s,10.125 m/s,1296 m/s,20.25 m/s,20.25 m/s
K,Science,Animals,Easy,An object travels 149 m in 24 s. What is its average speed?,3576 m/s,6.208333333333333 m/s,3.1041666666666665 m/s,12.416666666666666 m/s,6.208333333333333 m/s
K,Science,Animals,Easy,An object travels 80 m in 36 s. What is its average speed?,2880 m/s,4.444444444444445 m/s,2.2222222222222223 m/s,1.1111111111111112 m/s,2.2222222222222223 m/s
K,Science,Animals,Easy,An object of mass 3 kg accelerates at 4 m/s². What net force acts on it?,48 N,15 N,12 N,9 N,12 N
K,Science,Animals,Easy,An object travels 357 m in 47 s. What is its average speed?,16779 m/s,15.191489361702128 m/s,3.797872340425532 m/s,7.595744680851064 m/s,7.595744680851064 m/s
K,Science,Animals,Easy,An object of mass 10 kg accelerates at 5 m/s². What net force acts on it?,250 N,40 N,60 N,50 N,50 N
K,Science,Animals,Easy,An object travels 260 m in 8 s. What is its average speed?,65.0 m/s,32.5 m/s,16.25 m/s,2080 m/s,32.5 m/s
K,Science,Animals,Easy,An object of mass 13 kg accelerates at 8 m/s². What net force acts on it?,104 N,91 N,117 N,832 N,104 N
K,Science,Animals,Easy,An object of mass 20 kg accelerates at 7 m/s². What net force acts on it?,120 N,140 N,160 N,980 N,140 N
K,Science,Animals,Easy,An object travels 87 m in 38 s. What is its average speed?,3306 m/s,1.144736842105263 m/s,4.578947368421052 m/s,2.289473684210526 m/s,2.289473684210526 m/s
K,Science,Animals,Easy,An object of mass 1 kg accelerates at 7 m/s². What net force acts on it?,6 N,8 N,7 N,49 N,7 N
K,Science,Animals,Easy,An object of mass 5 kg accelerates at 6 m/s². What net force acts on it?,35 N,30 N,25 N,180 N,30 N
K,Science,Animals,Easy,An object of mass 10 kg accelerates at 1 m/s². What net force acts on it?,Option 3,20 N,0 N,10 N,10 N
K,Science,Animals,Easy,An object of mass 6 kg accelerates at 10 m/s². What net force acts on it?,600 N,66 N,54 N,60 N,60 N
K,Science,Animals,Easy,An object of mass 5 kg accelerates at 10 m/s². What net force acts on it?,500 N,45 N,55 N,50 N,50 N
K,Science,Animals,Easy,An object travels 42 m in 35 s. What is its average speed?,1470 m/s,0.6 m/s,1.2 m/s,2.4 m/s,1.2 m/s
K,Science,Animals,Easy,An object of mass 13 kg accelerates at 5 m/s². What net force acts on it?,325 N,52 N,65 N,78 N,65 N
K,Science,Animals,Easy,An object of mass 18 kg accelerates at 4 m/s². What net force acts on it?,90 N,54 N,288 N,72 N,72 N
K,Science,Animals,Easy,An object travels 184 m in 35 s. What is its average speed?,6440 m/s,5.257142857142857 m/s,2.6285714285714286 m/s,10.514285714285714 m/s,5.257142857142857 m/s
K,Science,Animals,Easy,An object of mass 5 kg accelerates at 8 m/s². What net force acts on it?,320 N,45 N,35 N,40 N,40 N
K,Science,Animals,Easy,An object of mass 17 kg accelerates at 7 m/s². What net force acts on it?,102 N,119 N,136 N,833 N,119 N
K,Science,Animals,Easy,An object of mass 1 kg accelerates at 9 m/s². What net force acts on it?,10 N,8 N,9 N,81 N,9 N
K,Science,Animals,Easy,An object of mass 5 kg accelerates at 3 m/s². What net force acts on it?,15 N,45 N,10 N,20 N,15 N
K,Science,Animals,Easy,An object of mass 3 kg accelerates at 7 m/s². What net force acts on it?,21 N,24 N,18 N,147 N,21 N
