Grade,Subject,Topic,Difficulty,Question,A,B,C,D,Correct Answer
K,Maths,Counting,Hard,Q1: You have 27 candies and get 24 more. How many do you have now?,53,50,52,51,51
K,Maths,Addition,Hard,Q2: You have 54 buttons and get 61 more. How many do you have now?,117,115,116,114,115
K,Maths,Subtraction,Hard,Q3: You have 16 cars and get 59 more. How many do you have now?,74,75,77,76,75
K,Maths,Patterns,Hard,Q4: Count by 2 starting at 0. What is the 6th number you say?,12,14,10,8,10
K,Maths,Counting,Hard,Q5: Count by 10 starting at 10. What is the 6th number you say?,60,50,70,80,60
K,Maths,Addition,Hard,Q6: Count by 10 starting at 20. What is the 6th number you say?,70,80,90,60,70
K,Maths,Subtraction,Hard,Q7: You have 34 cookies and get 46 more. How many do you have now?,81,82,80,79,80
K,Maths,Patterns,Hard,Q8: You have 2 pencils and get 42 more. How many do you have now?,44,43,45,46,44
K,Maths,Counting,Hard,Q9: You have 11 pencils and get 69 more. How many do you have now?,80,82,79,81,80
K,Maths,Addition,Hard,Q10: You have 45 candies and get 66 more. How many do you have now?,113,112,111,110,111
K,Maths,Subtraction,Hard,Q11: Count by 2 starting at 2. What is the 6th number you say?,14,12,16,10,12
K,Maths,Patterns,Hard,Q12: You have 29 books and get 59 more. How many do you have now?,87,90,88,89,88
K,Maths,Counting,Hard,Q13: You have 32 balls and get 36 more. How many do you have now?,67,70,68,69,68
K,Maths,Addition,Hard,Q14: There are 36 apples. 2 go away. How many are left?,36,34,35,33,34
K,Maths,Subtraction,Hard,Q15: You have 53 cats and get 45 more. How many do you have now?,98,97,99,100,98
K,Maths,Patterns,Hard,Q16: You have 10 flowers and get 5 more. How many do you have now?,16,17,15,14,15
K,Maths,Counting,Hard,Q17: There are 30 shells. 8 go away. How many are left?,23,21,22,24,22
K,Maths,Addition,Hard,Q18: Count by 10 starting at 20. What is the 6th number you say?,80,90,70,60,70
K,Maths,Subtraction,Hard,Q19: Count by 10 starting at 0. What is the 6th number you say?,40,60,70,50,50
K,Maths,Patterns,Hard,Q20: Count by 2 starting at 2. What is the 6th number you say?,12,10,16,14,12
