Grade,Subject,Topic,Difficulty,Question,A,B,C,D,Correct Answer
K,Space & Physics,Sky & Space,Intermediate,Why do we see the Moon at night?,It shines by itself,It reflects sunlight,It is a star,It makes light,It reflects sunlight
K,Space & Physics,Earth & Space,Intermediate,Where does the Sun rise?,North,South,East,West,East
K,Space & Physics,Motion & Forces,Intermediate,What helps you slide faster?,Rough ground,Smooth ground,Grass,Sand,Smooth ground
K,Space & Physics,Light & Heat,Intermediate,What gives heat to Earth?,Moon,Stars,Sun,Clouds,Sun
K,Space & Physics,Sky & Space,Intermediate,Which object is bigger?,Moon,Sun,Star,Cloud,Sun
K,Space & Physics,Motion & Forces,Intermediate,What happens if you stop pushing a toy car?,Stops,Flies,Grows,Shines,Stops
K,Space & Physics,Light & Heat,Intermediate,What happens in the shade?,Hotter,Same,Cooler,Brighter,Cooler
K,Space & Physics,Earth & Space,Intermediate,What makes day and night?,Moon moves,Sun sleeps,Earth turns,Stars move,Earth turns
K,Space & Physics,Sky & Space,Intermediate,Why do planets remain in orbit around the Sun?,Gravity provides centripetal force while forward motion keeps them moving,Magnetism alone keeps them,No forces act in space,Air pressure holds them,Gravity provides centripetal force while forward motion keeps them moving
K,Space & Physics,Light & Heat,Intermediate,Refraction happens when a wave enters a new medium because its:,Frequency always changes,Speed changes,Amplitude becomes zero,Energy is destroyed,Speed changes
K,Space & Physics,Sky & Space,Intermediate,"In a simplified model, if distance between two masses doubles, gravitational force becomes:",Half as large,Four times as large,Twice as large,One-fourth as large,One-fourth as large
K,Space & Physics,Sky & Space,Intermediate,A light-year is best described as a unit of:,Time,Distance,Brightness,Mass,Distance
K,Space & Physics,Motion & Forces,Intermediate,Velocity changes from 20 m/s to 37 m/s in 1 s. What is the average acceleration?,8.5 m/s²,17 m/s²,34.0 m/s²,17.0 m/s²,17.0 m/s²
K,Space & Physics,Light & Heat,Intermediate,A wave travels at 5000 m/s with frequency 500 Hz. What is its wavelength?,10.0 m,20.0 m,5.0 m,2500000 m,10.0 m
K,Space & Physics,Motion & Forces,Intermediate,Velocity changes from 20 m/s to 50 m/s in 2 s. What is the average acceleration?,15.0 m/s²,60 m/s²,30.0 m/s²,7.5 m/s²,15.0 m/s²
K,Space & Physics,Motion & Forces,Intermediate,Velocity changes from 10 m/s to 29 m/s in 2 s. What is the average acceleration?,9.5 m/s²,4.75 m/s²,38 m/s²,19.0 m/s²,9.5 m/s²
K,Space & Physics,Light & Heat,Intermediate,"For sound waves, which property is most closely related to pitch?",Density,Amplitude,Frequency,Speed,Frequency
K,Space & Physics,Motion & Forces,Intermediate,Newton’s Third Law is best summarized as:,Force equals mass times acceleration,Objects stay at rest unless acted on,For every action there is an equal and opposite reaction,Energy is always created,For every action there is an equal and opposite reaction
K,Space & Physics,Motion & Forces,Intermediate,What is the momentum of a 8 kg object moving at 5 m/s?,48 kg·m/s,200 kg·m/s,20.0 kg·m/s,40 kg·m/s,40 kg·m/s
K,Space & Physics,Motion & Forces,Intermediate,Velocity changes from 8 m/s to 35 m/s in 3 s. What is the average acceleration?,81 m/s²,18.0 m/s²,4.5 m/s²,9.0 m/s²,9.0 m/s²
K,Space & Physics,Light & Heat,Intermediate,A wave travels at 300 m/s with frequency 100 Hz. What is its wavelength?,1.5 m,30000 m,3.0 m,6.0 m,3.0 m
K,Space & Physics,Light & Heat,Intermediate,A wave travels at 5000 m/s with frequency 1000 Hz. What is its wavelength?,5.0 m,10.0 m,2.5 m,5000000 m,5.0 m
K,Space & Physics,Light & Heat,Intermediate,A wave travels at 340 m/s with frequency 50 Hz. What is its wavelength?,3.4 m,6.8 m,13.6 m,17000 m,6.8 m
K,Space & Physics,Motion & Forces,Intermediate,Velocity changes from 15 m/s to 40 m/s in 2 s. What is the average acceleration?,12.5 m/s²,50 m/s²,6.25 m/s²,25.0 m/s²,12.5 m/s²
