Grade,Subject,Topic,Difficulty,Question,A,B,C,D,Correct Answer
K,Science,Animals,Intermediate,Which animal can fly?,Bird,Dog,Cat,Cow,Bird
K,Science,Plants,Intermediate,What do plants need to grow?,Sunlight,Toys,TV,Candy,Sunlight
K,Science,Weather,Intermediate,What comes after rain sometimes?,Rainbow,Snowman,Moon,Star,Rainbow
K,Science,Senses,Intermediate,Which sense helps you hear?,Sight,Smell,Hearing,Taste,Hearing
K,Science,Weather,Intermediate,What makes leaves move?,Wind,Sand,Fire,Ice,Wind
K,Science,Senses,Intermediate,Which sense helps you see colors?,Touch,Taste,Sight,Smell,Sight
K,Science,Animals,Intermediate,Which animal lives in water?,Fish,Horse,Cat,Lion,Fish
K,Science,Plants,Intermediate,What part of plant is under the ground?,Leaf,Flower,Root,Fruit,Root
K,Science,Plants,Intermediate,Which statement best describes conservation of energy?,Energy changes form but is not created or destroyed,Energy stays only as heat,Energy is always destroyed,Energy is created in every reaction,Energy changes form but is not created or destroyed
K,Science,Weather,Intermediate,An object of mass 9 kg accelerates at 3 m/s². What net force acts on it?,81 N,27 N,36 N,18 N,27 N
K,Science,Animals,Intermediate,An object of mass 3 kg accelerates at 6 m/s². What net force acts on it?,108 N,15 N,21 N,18 N,18 N
K,Science,Senses,Intermediate,An object of mass 11 kg accelerates at 6 m/s². What net force acts on it?,66 N,396 N,77 N,55 N,66 N
K,Science,Senses,Intermediate,An object of mass 9 kg accelerates at 6 m/s². What net force acts on it?,45 N,54 N,63 N,324 N,54 N
K,Science,Senses,Intermediate,An object travels 188 m in 27 s. What is its average speed?,5076 m/s,13.925925925925926 m/s,6.962962962962963 m/s,3.4814814814814814 m/s,6.962962962962963 m/s
K,Science,Weather,Intermediate,An object of mass 10 kg accelerates at 9 m/s². What net force acts on it?,810 N,80 N,100 N,90 N,90 N
K,Science,Weather,Intermediate,An object travels 128 m in 6 s. What is its average speed?,42.666666666666664 m/s,10.666666666666666 m/s,21.333333333333332 m/s,768 m/s,21.333333333333332 m/s
K,Science,Plants,Intermediate,An object of mass 11 kg accelerates at 7 m/s². What net force acts on it?,77 N,88 N,539 N,66 N,77 N
K,Science,Weather,Intermediate,An object travels 425 m in 45 s. What is its average speed?,19125 m/s,9.444444444444445 m/s,18.88888888888889 m/s,4.722222222222222 m/s,9.444444444444445 m/s
K,Science,Animals,Intermediate,An object of mass 6 kg accelerates at 9 m/s². What net force acts on it?,54 N,48 N,60 N,486 N,54 N
K,Science,Animals,Intermediate,An object of mass 18 kg accelerates at 1 m/s². What net force acts on it?,Option 3,0 N,18 N,36 N,18 N
K,Science,Animals,Intermediate,An object of mass 8 kg accelerates at 4 m/s². What net force acts on it?,128 N,32 N,24 N,40 N,32 N
