Grade,Subject,Topic,Difficulty,Question,A,B,C,D,Correct Answer
7,Space & Physics,Earth & Space,Intermediate,Why do seasons change on Earth?,Distance from Sun,Tilt of Earth's axis,Moon phases,Cloud movement,Tilt of Earth's axis
7,Space & Physics,Forces & Motion,Intermediate,What happens when net force is not zero?,No motion,Object accelerates,Object stops,Mass changes,Object accelerates
7,Space & Physics,Light & Sound,Intermediate,Why does sound bend around corners?,Reflection,Diffraction,Refraction,Absorption,Diffraction
7,Space & Physics,Energy & Heat,Intermediate,Why do dark surfaces absorb more heat?,Reflect light,Absorb radiation,Increase airflow,Decrease mass,Absorb radiation
7,Space & Physics,Light & Sound,Intermediate,What determines the brightness of light?,Frequency,Amplitude,Speed,Color,Amplitude
7,Space & Physics,Earth & Space,Intermediate,Why does the Moon always show the same face to Earth?,No rotation,Same rotation and orbit period,No gravity,Atmosphere,Same rotation and orbit period
7,Space & Physics,Forces & Motion,Intermediate,Why do astronauts feel weightless in orbit?,No gravity,Continuous free fall,Magnetic force,Air pressure,Continuous free fall
7,Space & Physics,Energy & Heat,Intermediate,Which process transfers heat through direct contact?,Radiation,Convection,Conduction,Friction,Conduction
7,Space & Physics,Energy & Heat,Intermediate,Which heat transfer can occur through a vacuum?,Convection,Friction,Radiation,Conduction,Radiation
7,Space & Physics,Light & Sound,Intermediate,"For sound waves, which property is most closely related to pitch?",Amplitude,Density,Frequency,Speed,Frequency
7,Space & Physics,Earth & Space,Intermediate,A light-year is best described as a unit of:,Brightness,Distance,Mass,Time,Distance
7,Space & Physics,Energy & Heat,Intermediate,A constant force of 108 N moves an object 36 m in the same direction. How much work is done?,3888 J,3780 J,3996 J,3.0 J,3888 J
7,Space & Physics,Energy & Heat,Intermediate,A constant force of 81 N moves an object 21 m in the same direction. How much work is done?,1701 J,1620 J,1782 J,3.857142857142857 J,1701 J
7,Space & Physics,Energy & Heat,Intermediate,A constant force of 88 N moves an object 39 m in the same direction. How much work is done?,3520 J,2.2564102564102564 J,3344 J,3432 J,3432 J
7,Space & Physics,Earth & Space,Intermediate,"In a simplified model, if distance between two masses doubles, gravitational force becomes:",Four times as large,One-fourth as large,Twice as large,Half as large,One-fourth as large
7,Space & Physics,Forces & Motion,Intermediate,What is the momentum of a 20 kg object moving at 15 m/s?,150.0 kg·m/s,300 kg·m/s,320 kg·m/s,4500 kg·m/s,300 kg·m/s
7,Space & Physics,Forces & Motion,Intermediate,Velocity changes from 14 m/s to 21 m/s in 9 s. What is the average acceleration?,63 m/s²,0.3888888888888889 m/s²,1.5555555555555556 m/s²,0.7777777777777778 m/s²,0.7777777777777778 m/s²
7,Space & Physics,Light & Sound,Intermediate,A wave travels at 1500 m/s with frequency 100 Hz. What is its wavelength?,15.0 m,150000 m,30.0 m,7.5 m,15.0 m
7,Space & Physics,Energy & Heat,Intermediate,Which heat transfer method involves moving fluid?,Reflection,Convection,Radiation,Conduction,Convection
7,Space & Physics,Earth & Space,Intermediate,Why do planets remain in orbit around the Sun?,No forces act in space,Gravity provides centripetal force while forward motion keeps them moving,Air pressure holds them,Magnetism alone keeps them,Gravity provides centripetal force while forward motion keeps them moving
7,Space & Physics,Forces & Motion,Intermediate,Newton’s Third Law is best summarized as:,Force equals mass times acceleration,For every action there is an equal and opposite reaction,Energy is always created,Objects stay at rest unless acted on,For every action there is an equal and opposite reaction
7,Space & Physics,Forces & Motion,Intermediate,Velocity changes from 4 m/s to 19 m/s in 1 s. What is the average acceleration?,15 m/s²,15.0 m/s²,7.5 m/s²,30.0 m/s²,15.0 m/s²
